2025-07-30 15:28:32,658 | session=abc123 | score=0.19 | question=bla bla bla
2025-07-30 15:34:43,965 | session=818f6fbc-e8e5-4bff-b1a5-1fd1d90af4da | score=0.17 | question=casting
2025-07-30 15:36:38,868 | session=818f6fbc-e8e5-4bff-b1a5-1fd1d90af4da | score=0.17 | question=casting
2025-07-30 15:36:55,916 | session=818f6fbc-e8e5-4bff-b1a5-1fd1d90af4da | score=0.17 | question=casting
2025-07-30 15:44:25,959 | session=818f6fbc-e8e5-4bff-b1a5-1fd1d90af4da | score=0.17 | question=casting
2025-07-30 15:44:57,962 | session=abc123 | score=0.19 | question=bla bla bla
2025-07-30 15:51:04,002 | session=abc123 | score=0.24 | question=kkkkkkk
2025-07-30 15:51:33,789 | session=818f6fbc-e8e5-4bff-b1a5-1fd1d90af4da | score=0.17 | question=casting
2025-07-30 16:12:01,944 | session=abc123 | score=0.24 | question=kkkkkkk
2025-07-31 17:21:42,539 | session=818f6fbc-e8e5-4bff-b1a5-1fd1d90af4da | score=0.34 | question=Achraf
2025-07-31 17:54:51,718 | session=abc11sms5n23 | score=0.32 | question=Bnj
2025-07-31 17:56:06,796 | session=abc11sms5n23 | score=0.32 | question=Bnj
2025-07-31 17:57:05,170 | session=abc11sms5n23 | score=0.28 | question=allo allo allo ya 3omri winek
2025-08-01 09:23:30,830 | session=abc11sms5n23 | score=0.28 | question=allo allo allo ya 3omri winek
2025-08-01 09:39:31,274 | session=abc11sms5n23 | score=0.28 | question=allo allo allo ya 3omri winek
2025-08-01 09:48:42,520 | session=abc11sms52n23 | score=0.24 | question=allo allo allo ya 3omri winek
2025-08-01 09:49:24,301 | session=abc11sms52n23 | score=0.53 | question=je veux prendre un rendez vous
2025-08-01 09:50:00,564 | session=abc11sms52n23 | score=0.24 | question=ok dis moi 
2025-08-01 10:00:25,745 | session=abc11sms52n23 | score=0.24 | question=ok dis moi 
2025-08-01 10:03:10,654 | session=abc11sms52n23 | score=0.53 | question=je veux prendre un rendez vous
2025-08-01 10:03:38,881 | session=abc11sms52n23 | score=0.18 | question=martin
2025-08-01 10:05:16,612 | session=abc11sms52n23 | score=0.40 | question=Le docteur Martin
2025-08-01 10:05:21,492 | session=abc11sms52n23 | score=0.40 | question=Le docteur Martin
2025-08-01 10:46:03,832 | session=abc15451sms52n23 | score=0.53 | question=je veux prendre un rendez vous
